Accident_ID,Date,City,Area,Latitude,Longitude,Weather_Condition,Road_Type,Vehicle_Type,Traffic_Level,Light_Condition,Speed_kmph,Driver_Age,Alcohol_Involved,Seatbelt_Helmet_Used,Number_of_Vehicles,Casualties,Accident_Severity
BRD00040,2024-08-26,Vadodara,Sayajigunj,22.258095,73.224934,Cloudy,Residential,Auto,Medium,Evening,67,19,1,1,1,4,Medium
BRD00041,2025-04-01,Vadodara,Sama,22.304473,73.212127,Fog,City Road,Bus,Medium,Daylight,74,35,1,1,1,6,Medium
BRD00042,2025-02-12,Vadodara,Sayajigunj,22.344144,73.226076,Cloudy,City Road,Auto,Medium,Evening,110,19,1,0,1,5,Medium
BRD00043,2024-01-26,Vadodara,Akota,22.299284,73.131749,Cloudy,Flyover,Truck,Low,Night,84,35,1,1,1,1,Low
BRD00044,2024-01-27,Vadodara,Waghodia,22.279149,73.110293,Cloudy,Highway,Bike,Low,Daylight,120,30,0,0,2,4,Medium
BRD00045,2024-10-15,Vadodara,Gotri,22.310454,73.138437,Rainy,Flyover,Car,Medium,Evening,110,56,0,0,3,0,Medium
BRD00046,2024-10-21,Vadodara,Makarpura,22.368043,73.156296,Clear,City Road,Bike,High,Evening,28,62,0,0,3,2,Low
BRD00047,2024-09-29,Vadodara,Sayajigunj,22.335998,73.110344,Clear,Flyover,Bike,High,Night,30,49,0,1,3,2,Low
BRD00048,2024-03-31,Vadodara,Vasna,22.317827,73.197569,Cloudy,Residential,Bus,High,Night,44,64,1,1,2,3,Low
BRD00049,2025-01-19,Vadodara,Fatehgunj,22.32408,73.200228,Clear,Flyover,Bike,Medium,Night,82,38,0,1,2,1,Low
BRD00050,2025-03-26,Vadodara,Harni,22.341154,73.14144,Fog,Highway,Auto,Medium,Daylight,68,23,0,1,4,2,Medium
BRD00051,2024-12-30,Vadodara,Fatehgunj,22.308263,73.102586,Rainy,Flyover,Car,High,Night,85,62,0,1,5,5,High
BRD00052,2024-06-25,Vadodara,Sayajigunj,22.379562,73.182558,Fog,Flyover,Bus,Medium,Night,95,37,1,0,1,4,High
BRD00053,2024-10-01,Vadodara,Tarsali,22.339721,73.128731,Rainy,Residential,Truck,Medium,Evening,40,55,1,0,2,5,Medium
BRD00054,2024-06-03,Vadodara,Alkapuri,22.342042,73.118987,Fog,Highway,Bike,Low,Evening,71,36,0,1,1,1,Medium
BRD00055,2024-09-02,Vadodara,Fatehgunj,22.294292,73.244825,Clear,Flyover,Bus,High,Daylight,61,22,1,1,1,3,Medium
BRD00056,2024-10-15,Vadodara,Akota,22.261074,73.137229,Clear,Residential,Auto,Low,Evening,44,57,0,1,4,6,Low
BRD00057,2024-06-05,Vadodara,Harni,22.330734,73.191445,Cloudy,Highway,Car,Medium,Evening,100,31,1,0,2,3,Medium
BRD00058,2024-03-21,Vadodara,Alkapuri,22.303107,73.203406,Rainy,Residential,Truck,Low,Daylight,95,32,1,1,4,0,Medium
BRD00059,2025-02-07,Vadodara,Tarsali,22.331258,73.199177,Clear,City Road,Bus,High,Daylight,54,52,0,0,3,2,Low
BRD00060,2025-02-09,Vadodara,Akota,22.327356,73.223636,Rainy,Flyover,Bus,Low,Daylight,32,47,1,1,3,1,Low
BRD00061,2024-01-21,Vadodara,Sayajigunj,22.345489,73.190557,Cloudy,Highway,Bike,Medium,Daylight,35,61,0,1,5,4,Low
BRD00062,2024-11-29,Vadodara,Fatehgunj,22.369089,73.127223,Clear,Residential,Bus,Low,Daylight,85,48,1,1,3,4,Medium
BRD00063,2024-03-23,Vadodara,Waghodia,22.303514,73.17432,Fog,Residential,Auto,High,Daylight,38,47,0,1,3,6,Medium
BRD00064,2024-09-20,Vadodara,Sama,22.378455,73.198649,Fog,Residential,Bus,Low,Daylight,76,30,1,1,4,6,Medium
BRD00065,2024-03-08,Vadodara,Akota,22.306955,73.204738,Clear,Highway,Bike,Low,Evening,59,56,0,0,3,4,Low
BRD00066,2024-04-25,Vadodara,Sama,22.368681,73.169217,Clear,Highway,Car,High,Night,77,63,1,1,4,0,Low
BRD00067,2024-10-09,Vadodara,Karelibaug,22.299866,73.23828,Cloudy,City Road,Bike,Medium,Night,56,44,1,1,1,3,Low
BRD00068,2024-10-27,Vadodara,Harni,22.379857,73.173446,Fog,City Road,Bus,High,Evening,63,48,1,1,5,6,High
BRD00069,2024-04-06,Vadodara,Vasna,22.281045,73.157446,Cloudy,Residential,Bike,Medium,Night,66,65,1,1,4,6,Medium
BRD00070,2024-09-14,Vadodara,Harni,22.293159,73.115055,Rainy,Residential,Bike,Medium,Evening,29,47,0,0,4,1,Low
BRD00071,2025-05-11,Vadodara,Akota,22.294013,73.203906,Rainy,Highway,Truck,Low,Evening,85,52,1,1,4,6,Medium
BRD00072,2024-11-19,Vadodara,Makarpura,22.369721,73.249614,Clear,Highway,Bus,High,Daylight,33,58,0,1,2,1,Low
BRD00073,2025-02-11,Vadodara,Alkapuri,22.288138,73.156226,Fog,City Road,Car,Low,Evening,30,44,0,0,2,2,Low
BRD00074,2024-12-15,Vadodara,Gotri,22.314697,73.187474,Clear,City Road,Bus,High,Evening,73,34,1,1,1,4,Medium
BRD00075,2024-03-21,Vadodara,Manjalpur,22.307425,73.151835,Cloudy,Flyover,Bus,Medium,Evening,111,34,1,1,2,4,Medium
BRD00076,2024-07-14,Vadodara,Harni,22.296665,73.144381,Cloudy,Flyover,Bike,Medium,Evening,38,43,1,0,5,1,Low
BRD00077,2025-03-02,Vadodara,Akota,22.350846,73.134518,Clear,Flyover,Car,High,Evening,120,30,1,0,1,3,Medium
BRD00078,2024-10-23,Vadodara,Waghodia,22.345207,73.11352,Clear,Flyover,Truck,Medium,Evening,81,44,0,0,2,0,Low
BRD00079,2025-03-01,Vadodara,Karelibaug,22.283406,73.223703,Fog,Residential,Truck,High,Evening,89,39,0,1,1,2,Medium
BRD00080,2024-12-11,Vadodara,Sayajigunj,22.375745,73.220688,Rainy,Flyover,Bike,Low,Night,111,18,1,0,4,5,High
BRD00081,2024-05-14,Vadodara,Harni,22.299533,73.195782,Fog,Flyover,Bike,High,Evening,120,32,1,0,5,5,High
BRD00082,2024-02-02,Vadodara,Makarpura,22.357101,73.236408,Fog,Flyover,Bus,High,Daylight,53,26,0,0,3,5,Medium
BRD00083,2025-03-30,Vadodara,Nizampura,22.267636,73.168047,Cloudy,Residential,Auto,Low,Evening,37,64,0,1,1,1,Low
BRD00084,2024-01-17,Vadodara,Vasna,22.298169,73.166507,Cloudy,City Road,Truck,High,Daylight,77,61,1,1,1,2,Medium
BRD00085,2025-04-30,Vadodara,Sama,22.357145,73.113751,Cloudy,City Road,Auto,Medium,Daylight,49,21,1,0,2,0,Low
BRD00086,2024-10-27,Vadodara,Gotri,22.355697,73.13495,Rainy,City Road,Auto,Low,Daylight,95,35,0,0,5,1,Medium
BRD00087,2025-03-19,Vadodara,Alkapuri,22.267134,73.153736,Fog,City Road,Auto,Low,Night,39,19,0,1,1,5,Medium
BRD00088,2024-02-28,Vadodara,Vasna,22.258263,73.167241,Rainy,Flyover,Auto,High,Evening,78,24,1,0,5,4,High
BRD00089,2024-06-03,Vadodara,Fatehgunj,22.333634,73.104673,Clear,Residential,Bus,High,Night,109,61,0,1,4,4,High
BRD00090,2024-03-16,Vadodara,Manjalpur,22.266405,73.193648,Clear,Flyover,Bus,Low,Evening,66,51,1,1,5,4,Medium
BRD00091,2025-03-12,Vadodara,Makarpura,22.334619,73.215344,Cloudy,City Road,Bus,Low,Night,114,32,1,1,4,0,Low
BRD00092,2024-06-09,Vadodara,Sayajigunj,22.290628,73.138233,Cloudy,City Road,Bus,Medium,Daylight,118,23,0,0,4,0,Low
BRD00093,2025-02-19,Vadodara,Karelibaug,22.322328,73.18797,Clear,Flyover,Bike,High,Night,119,40,1,0,3,2,Medium
BRD00094,2024-09-16,Vadodara,Gotri,22.270115,73.172328,Fog,Highway,Truck,Medium,Evening,38,41,0,1,5,4,Medium
BRD00095,2025-02-23,Vadodara,Harni,22.329765,73.196405,Rainy,Highway,Auto,Medium,Evening,96,62,1,0,2,6,High
BRD00096,2024-06-28,Vadodara,Alkapuri,22.273583,73.121488,Fog,Residential,Bike,High,Daylight,64,65,0,0,5,2,Medium
BRD00097,2024-06-23,Vadodara,Karelibaug,22.298107,73.208239,Rainy,Highway,Bike,Medium,Daylight,78,28,0,0,3,3,Medium
BRD00098,2024-11-06,Vadodara,Fatehgunj,22.303844,73.132335,Cloudy,Highway,Truck,High,Night,79,25,1,1,5,3,Medium
BRD00099,2024-11-02,Vadodara,Alkapuri,22.250999,73.145213,Fog,City Road,Car,Low,Night,53,36,1,0,1,3,Low
BRD00100,2024-03-07,Vadodara,Sayajigunj,22.319236,73.134517,Cloudy,Flyover,Bike,High,Night,80,65,0,1,1,1,Medium
BRD00101,2024-08-07,Vadodara,Harni,22.302575,73.196021,Cloudy,Flyover,Bike,Low,Night,65,19,1,0,5,4,Medium
BRD00102,2024-08-11,Vadodara,Sama,22.263762,73.165351,Cloudy,Residential,Auto,High,Daylight,71,43,1,1,2,0,Low
BRD00103,2024-11-20,Vadodara,Manjalpur,22.318979,73.129086,Fog,Flyover,Truck,Low,Evening,34,59,0,0,1,4,Medium
BRD00104,2024-11-04,Vadodara,Karelibaug,22.348828,73.198326,Rainy,City Road,Bus,Medium,Night,50,54,1,1,3,1,Low
BRD00105,2024-08-14,Vadodara,Makarpura,22.289367,73.141201,Rainy,Highway,Truck,Medium,Evening,33,22,1,1,4,3,Low
BRD00106,2024-05-26,Vadodara,Manjalpur,22.333807,73.246605,Clear,Highway,Auto,Low,Evening,72,50,1,1,5,6,Medium
BRD00107,2024-04-06,Vadodara,Waghodia,22.328651,73.175205,Clear,Highway,Bus,Medium,Daylight,98,39,0,0,1,5,Medium
BRD00108,2024-09-25,Vadodara,Nizampura,22.329275,73.154585,Rainy,Flyover,Bus,High,Night,81,39,0,1,1,3,Medium
BRD00109,2024-07-16,Vadodara,Akota,22.282759,73.227735,Fog,City Road,Truck,Low,Daylight,96,55,0,1,3,5,High
BRD00110,2025-04-25,Vadodara,Manjalpur,22.290246,73.156502,Cloudy,Flyover,Car,Low,Evening,101,62,0,1,5,5,Medium
BRD00111,2024-04-02,Vadodara,Gotri,22.294425,73.214923,Fog,City Road,Car,Low,Daylight,71,27,0,1,1,2,Medium
BRD00112,2024-11-12,Vadodara,Karelibaug,22.327642,73.123138,Clear,City Road,Auto,High,Daylight,68,64,1,0,4,6,Medium
BRD00113,2025-05-11,Vadodara,Fatehgunj,22.329377,73.212859,Fog,Residential,Car,High,Evening,117,33,1,1,2,1,High
BRD00114,2024-08-24,Vadodara,Tarsali,22.28663,73.157281,Fog,Residential,Car,High,Daylight,98,56,0,1,1,3,High
BRD00115,2024-12-30,Vadodara,Sama,22.317068,73.118702,Cloudy,Highway,Car,Medium,Night,95,46,0,1,1,0,Low
BRD00116,2024-07-31,Vadodara,Alkapuri,22.301539,73.156094,Rainy,Residential,Bike,Medium,Night,69,32,0,1,1,0,Low
BRD00117,2024-05-26,Vadodara,Sama,22.311419,73.224667,Fog,Residential,Bus,Low,Evening,42,18,0,0,3,0,Low
BRD00118,2024-11-07,Vadodara,Nizampura,22.305023,73.216426,Rainy,City Road,Truck,Low,Daylight,95,21,0,1,5,5,High
BRD00119,2025-04-08,Vadodara,Fatehgunj,22.327576,73.102465,Cloudy,City Road,Car,Low,Night,39,45,0,1,2,6,Low
BRD00120,2024-02-13,Vadodara,Nizampura,22.376705,73.110152,Cloudy,Highway,Bus,Low,Night,110,20,1,1,3,5,Medium
BRD00121,2024-05-03,Vadodara,Vasna,22.335424,73.11555,Clear,Flyover,Car,Medium,Daylight,33,40,1,0,4,2,Low
BRD00122,2024-03-10,Vadodara,Manjalpur,22.343086,73.241541,Cloudy,Highway,Truck,High,Daylight,48,20,0,0,3,6,Medium
BRD00123,2024-10-05,Vadodara,Fatehgunj,22.282931,73.212994,Fog,City Road,Truck,High,Night,75,21,1,1,1,6,High
BRD00124,2024-08-13,Vadodara,Sayajigunj,22.294075,73.128023,Fog,Residential,Truck,Medium,Evening,76,35,0,1,1,5,Medium
BRD00125,2024-05-30,Vadodara,Waghodia,22.263338,73.149188,Cloudy,Flyover,Truck,High,Night,48,56,1,0,4,4,Medium
BRD00126,2025-03-21,Vadodara,Waghodia,22.329931,73.165241,Fog,Highway,Bike,Medium,Evening,30,58,1,1,5,5,Medium
BRD00127,2024-11-07,Vadodara,Makarpura,22.351571,73.10522,Rainy,Highway,Car,Low,Evening,43,41,1,1,5,6,Medium
BRD00128,2024-08-18,Vadodara,Waghodia,22.298362,73.214463,Clear,City Road,Auto,High,Night,44,43,1,1,2,5,Medium
BRD00129,2024-09-12,Vadodara,Nizampura,22.300308,73.184251,Clear,Flyover,Truck,Low,Evening,119,46,0,1,4,1,Medium
BRD00130,2024-02-07,Vadodara,Fatehgunj,22.272445,73.207005,Rainy,Highway,Truck,Low,Evening,42,40,0,1,3,6,Medium
BRD00131,2024-11-22,Vadodara,Karelibaug,22.353181,73.176313,Rainy,Highway,Car,High,Daylight,115,33,1,0,3,5,High
BRD00132,2024-11-09,Vadodara,Manjalpur,22.258547,73.159724,Fog,Residential,Auto,Medium,Night,95,44,0,0,3,1,Medium
BRD00133,2024-09-21,Vadodara,Waghodia,22.266683,73.224358,Clear,City Road,Car,Medium,Night,84,50,0,0,5,5,Medium
BRD00134,2024-06-14,Vadodara,Vasna,22.279311,73.242122,Rainy,Flyover,Bike,Medium,Night,46,30,1,0,3,1,Low
BRD00135,2024-10-30,Vadodara,Harni,22.270045,73.19881,Clear,Flyover,Auto,High,Daylight,107,19,0,0,5,1,Medium
BRD00136,2024-10-19,Vadodara,Sayajigunj,22.330354,73.104543,Fog,Flyover,Truck,High,Night,51,33,1,1,4,6,Medium
BRD00137,2024-08-13,Vadodara,Sayajigunj,22.312953,73.130603,Clear,City Road,Truck,High,Evening,32,38,1,1,2,1,Low
BRD00138,2024-06-12,Vadodara,Gotri,22.310641,73.140121,Fog,City Road,Car,High,Daylight,96,21,1,1,5,0,Medium
BRD00139,2024-06-16,Vadodara,Harni,22.343747,73.128475,Cloudy,City Road,Bus,Low,Evening,45,47,1,1,4,6,Low
BRD00140,2024-08-22,Vadodara,Gotri,22.277969,73.152934,Clear,Highway,Truck,Low,Night,75,56,1,1,5,4,Medium
BRD00141,2025-03-27,Vadodara,Akota,22.344576,73.214579,Clear,Flyover,Bike,Low,Night,80,21,0,1,5,1,Low
BRD00142,2024-08-18,Vadodara,Tarsali,22.321481,73.223797,Fog,Highway,Car,Low,Daylight,74,43,1,1,5,4,Medium
BRD00143,2024-09-17,Vadodara,Sayajigunj,22.31501,73.106796,Fog,City Road,Truck,Low,Night,50,51,1,0,5,4,Medium
BRD00144,2024-03-24,Vadodara,Sayajigunj,22.37878,73.210898,Rainy,Flyover,Auto,Medium,Night,103,50,1,1,4,2,Medium
BRD00145,2024-02-26,Vadodara,Sayajigunj,22.325881,73.219513,Clear,Highway,Auto,Medium,Night,67,34,0,0,5,5,Medium
BRD00146,2025-01-04,Vadodara,Harni,22.350699,73.157029,Cloudy,City Road,Bike,Low,Evening,92,62,0,0,1,5,Medium
BRD00147,2024-07-30,Vadodara,Vasna,22.276506,73.175273,Cloudy,Residential,Bike,Medium,Evening,78,26,0,1,4,1,Low
BRD00148,2025-04-12,Vadodara,Nizampura,22.294503,73.153143,Cloudy,Flyover,Auto,Medium,Night,47,30,0,1,5,3,Low
BRD00149,2024-05-27,Vadodara,Vasna,22.276946,73.205748,Fog,Flyover,Bus,Low,Night,63,53,1,1,1,6,Medium
BRD00150,2025-02-15,Vadodara,Karelibaug,22.287759,73.143145,Cloudy,Highway,Truck,Medium,Night,69,59,1,1,2,6,Medium
BRD00151,2024-12-22,Vadodara,Akota,22.267845,73.192352,Rainy,City Road,Car,High,Daylight,59,60,0,0,1,4,Medium
BRD00152,2024-08-29,Vadodara,Manjalpur,22.338555,73.12062,Clear,City Road,Bus,Medium,Evening,67,48,1,0,3,5,Medium
BRD00153,2025-04-09,Vadodara,Tarsali,22.26163,73.18612,Fog,Highway,Car,Medium,Night,107,29,0,1,4,0,Medium
BRD00154,2024-01-05,Vadodara,Akota,22.323835,73.116095,Rainy,Flyover,Truck,High,Night,62,59,1,0,5,0,Medium
BRD00155,2024-02-27,Vadodara,Waghodia,22.271124,73.168837,Cloudy,Flyover,Car,Medium,Daylight,49,65,1,1,5,6,Low
BRD00156,2024-11-23,Vadodara,Sayajigunj,22.357509,73.177292,Rainy,Highway,Bus,Low,Evening,103,24,0,0,4,6,High
BRD00157,2024-07-15,Vadodara,Gotri,22.308076,73.140049,Fog,Flyover,Truck,Low,Evening,25,64,0,1,3,2,Low
BRD00158,2024-08-26,Vadodara,Akota,22.270763,73.202911,Rainy,Flyover,Bike,Low,Evening,110,36,1,0,2,0,Medium
BRD00159,2025-01-17,Vadodara,Harni,22.298571,73.205291,Rainy,Residential,Auto,Medium,Evening,44,31,0,0,5,3,Low
BRD00160,2024-02-09,Vadodara,Harni,22.264587,73.224316,Cloudy,City Road,Auto,High,Evening,115,27,0,1,5,2,Medium
BRD00161,2025-01-02,Vadodara,Harni,22.313548,73.234833,Cloudy,Residential,Bike,Low,Night,112,26,1,1,5,1,Medium
BRD00162,2025-02-17,Vadodara,Akota,22.344026,73.159392,Clear,Highway,Car,High,Evening,84,22,0,1,3,5,Medium
BRD00163,2025-04-23,Vadodara,Fatehgunj,22.254126,73.16133,Clear,City Road,Bus,High,Night,32,42,1,1,4,0,Low
BRD00164,2024-10-03,Vadodara,Karelibaug,22.334959,73.152165,Clear,City Road,Auto,High,Night,109,51,0,0,1,6,High
BRD00165,2025-01-03,Vadodara,Nizampura,22.305137,73.156891,Clear,City Road,Car,Medium,Night,84,40,0,1,2,5,Medium
BRD00166,2024-11-10,Vadodara,Tarsali,22.371711,73.233356,Clear,City Road,Car,Low,Daylight,109,24,0,1,5,3,Medium
BRD00167,2024-07-24,Vadodara,Fatehgunj,22.280464,73.13259,Clear,Highway,Car,Low,Evening,119,36,0,1,5,0,Low
BRD00168,2024-12-04,Vadodara,Nizampura,22.278736,73.145075,Fog,Highway,Auto,Low,Evening,63,65,0,1,5,1,Medium
BRD00169,2024-12-09,Vadodara,Sayajigunj,22.352155,73.14781,Cloudy,Residential,Bus,Low,Daylight,69,37,1,0,5,5,Medium
BRD00170,2025-03-15,Vadodara,Vasna,22.268766,73.169454,Cloudy,Highway,Auto,Low,Night,53,44,0,1,2,2,Low
BRD00171,2024-02-10,Vadodara,Fatehgunj,22.360127,73.11387,Fog,City Road,Bike,Low,Night,67,42,0,0,2,5,Medium
BRD00172,2025-04-09,Vadodara,Waghodia,22.289414,73.236349,Rainy,City Road,Car,Medium,Evening,51,25,1,0,5,6,Medium
BRD00173,2024-06-13,Vadodara,Tarsali,22.286798,73.169938,Rainy,Flyover,Truck,Medium,Night,55,41,1,1,1,4,Medium
BRD00174,2024-06-09,Vadodara,Sayajigunj,22.255943,73.229613,Cloudy,City Road,Bike,Medium,Night,51,53,1,1,2,2,Low
BRD00175,2024-10-18,Vadodara,Sama,22.281945,73.182596,Rainy,Flyover,Truck,Medium,Night,54,64,1,1,2,3,Low
BRD00176,2024-10-06,Vadodara,Fatehgunj,22.273926,73.233405,Fog,Highway,Auto,Low,Daylight,42,22,0,0,4,5,Medium
BRD00177,2024-12-28,Vadodara,Karelibaug,22.251188,73.17586,Rainy,Flyover,Bike,High,Evening,54,58,1,1,1,0,Low
BRD00178,2024-01-07,Vadodara,Alkapuri,22.318824,73.141211,Clear,Flyover,Bike,High,Evening,95,62,1,0,1,3,Medium
BRD00179,2024-04-08,Vadodara,Harni,22.318439,73.222282,Clear,Flyover,Bus,High,Daylight,44,41,1,1,5,1,Low
BRD00180,2024-12-16,Vadodara,Sama,22.360223,73.19806,Rainy,Highway,Bike,High,Night,53,42,1,1,1,2,Medium
BRD00181,2024-09-12,Vadodara,Sama,22.306408,73.217656,Clear,Highway,Auto,High,Daylight,46,32,0,1,3,0,Low
BRD00182,2025-04-05,Vadodara,Nizampura,22.323256,73.104935,Clear,Flyover,Bike,Low,Daylight,112,55,0,1,1,2,Medium
BRD00183,2024-10-17,Vadodara,Sama,22.360428,73.201555,Fog,Flyover,Bus,Low,Evening,97,26,0,1,1,1,Medium
BRD00184,2024-02-08,Vadodara,Waghodia,22.328672,73.19208,Clear,Residential,Truck,Medium,Daylight,54,58,1,1,4,6,Low
BRD00185,2024-08-09,Vadodara,Karelibaug,22.33836,73.199101,Rainy,Highway,Auto,Medium,Night,95,33,0,0,3,3,Medium
BRD00186,2024-11-20,Vadodara,Karelibaug,22.346155,73.147502,Rainy,Highway,Bike,Medium,Daylight,116,37,1,1,3,6,High
BRD00187,2024-08-08,Vadodara,Fatehgunj,22.322408,73.176866,Clear,Highway,Bike,Low,Daylight,36,40,0,1,4,1,Low
BRD00188,2025-02-02,Vadodara,Manjalpur,22.34423,73.18393,Clear,City Road,Auto,Medium,Evening,77,28,1,0,2,3,Low
BRD00189,2024-03-15,Vadodara,Manjalpur,22.271737,73.141394,Fog,Flyover,Bus,Medium,Daylight,59,41,1,0,4,3,Low
BRD00190,2024-06-04,Vadodara,Alkapuri,22.373347,73.149833,Rainy,Residential,Truck,Medium,Night,38,39,1,0,3,1,Low
BRD00191,2024-09-02,Vadodara,Waghodia,22.273093,73.159736,Fog,Flyover,Truck,High,Evening,113,62,1,0,3,1,High
BRD00192,2024-02-28,Vadodara,Harni,22.275974,73.24959,Cloudy,City Road,Auto,Medium,Daylight,75,64,1,0,4,2,Low
BRD00193,2025-03-10,Vadodara,Tarsali,22.353356,73.200947,Fog,City Road,Truck,High,Daylight,33,34,0,1,4,6,Medium
BRD00194,2024-10-25,Vadodara,Sayajigunj,22.319468,73.238524,Clear,Residential,Auto,Medium,Daylight,101,41,0,0,2,3,Medium
BRD00195,2024-01-23,Vadodara,Harni,22.377869,73.201621,Fog,Residential,Truck,Low,Night,107,24,0,0,3,4,High
BRD00196,2024-10-12,Vadodara,Harni,22.339396,73.133155,Rainy,Flyover,Bus,High,Night,120,61,0,1,1,4,High
